sex,id,cage,treatment,zt,day,eatdrinkfor,move,rest,flag,graph_zt
F,plusb2,b2,CORT,20.5,2,0,0,300,night,2.5
F,plusb2,b2,CORT,21,2,0,0,300,night,3
F,plusb2,b2,CORT,21.5,2,0,0,300,night,3.5
F,plusb2,b2,CORT,22,2,0,0,300,night,4
F,plusb2,b2,CORT,22.5,2,0,0,300,night,4.5
M,rectangleb3,b3,CORT,12.5,1,0,0,300,night,18.5
M,rectangleb3,b3,CORT,13,1,0,0,300,night,19
M,rectangleb3,b3,CORT,13.5,1,0,0,300,night,19.5
M,rectangleb3,b3,CORT,14,1,0,0,300,night,20
M,rectangleb3,b3,CORT,14.5,1,0,0,300,night,20.5
M,rectangleb3,b3,CORT,15,1,0,0,300,night,21
M,rectangleb3,b3,CORT,15.5,1,0,0,300,night,21.5
M,rectangleb3,b3,CORT,16,1,0,0,300,night,0
M,rectangleb3,b3,CORT,16.5,1,0,0,300,night,0.5
M,rectangleb3,b3,CORT,17,1,0,0,300,night,1
M,rectangleb3,b3,CORT,17.5,1,0,0,300,night,1.5
M,rectangleb3,b3,CORT,18,1,0,0,300,night,0
M,rectangleb3,b3,CORT,18.5,1,0,0,300,night,0.5
M,rectangleb3,b3,CORT,19,1,0,0,300,night,1
M,rectangleb3,b3,CORT,20,1,0,0,300,night,2
M,rectangleb3,b3,CORT,20.5,1,0,0,300,night,2.5
M,rectangleb3,b3,CORT,21,1,0,0,300,night,3
M,rectangleb3,b3,CORT,21.5,1,0,0,300,night,3.5
M,rectangleb3,b3,CORT,22,1,0,0,300,night,4
M,rectangleb3,b3,CORT,13,2,0,0,300,night,19
M,rectangleb3,b3,CORT,13.5,2,0,0,300,night,19.5
M,rectangleb3,b3,CORT,14,2,0,0,300,night,20
M,rectangleb3,b3,CORT,15,2,0,0,300,night,21
M,rectangleb3,b3,CORT,15.5,2,0,0,300,night,21.5
M,rectangleb3,b3,CORT,16,2,0,0,300,night,0
M,rectangleb3,b3,CORT,16.5,2,0,0,300,night,0.5
M,rectangleb3,b3,CORT,17,2,0,0,300,night,1
M,rectangleb3,b3,CORT,17.5,2,0,0,300,night,1.5
M,rectangleb3,b3,CORT,19,2,0,0,300,night,1
M,rectangleb3,b3,CORT,19.5,2,0,0,300,night,1.5
M,rectangleb3,b3,CORT,20,2,0,0,300,night,2
M,rectangleb3,b3,CORT,21,2,0,0,300,night,3
M,rectangleb3,b3,CORT,21.5,2,0,0,300,night,3.5
M,rectangleb3,b3,CORT,22,2,0,0,300,night,4
M,rectangleb3,b3,CORT,22.5,2,0,0,300,night,4.5
M,rectangleb3,b3,CORT,23.5,2,0,0,300,night,5.5
M,plusb3,b3,CORT,12.5,1,0,0,300,night,18.5
M,plusb3,b3,CORT,13,1,0,0,300,night,19
M,plusb3,b3,CORT,13.5,1,0,0,300,night,19.5
M,plusb3,b3,CORT,14,1,0,0,300,night,20
M,plusb3,b3,CORT,14.5,1,0,0,300,night,20.5
M,plusb3,b3,CORT,15,1,0,0,300,night,21
M,plusb3,b3,CORT,15.5,1,0,0,300,night,21.5
M,plusb3,b3,CORT,16,1,0,0,300,night,0
M,plusb3,b3,CORT,16.5,1,0,0,300,night,0.5
M,plusb3,b3,CORT,17,1,0,0,300,night,1
M,plusb3,b3,CORT,17.5,1,0,0,300,night,1.5
M,plusb3,b3,CORT,18,1,0,0,300,night,0
M,plusb3,b3,CORT,18.5,1,0,0,300,night,0.5
M,plusb3,b3,CORT,19,1,0,0,300,night,1
M,plusb3,b3,CORT,20,1,0,0,300,night,2
M,plusb3,b3,CORT,20.5,1,0,0,300,night,2.5
M,plusb3,b3,CORT,21,1,0,0,300,night,3
M,plusb3,b3,CORT,21.5,1,0,0,300,night,3.5
M,plusb3,b3,CORT,22,1,0,0,300,night,4
M,plusb3,b3,CORT,13,2,0,0,300,night,19
M,plusb3,b3,CORT,13.5,2,0,0,300,night,19.5
M,plusb3,b3,CORT,14,2,0,0,300,night,20
M,plusb3,b3,CORT,15,2,0,0,300,night,21
M,plusb3,b3,CORT,15.5,2,0,0,300,night,21.5
M,plusb3,b3,CORT,16,2,0,0,300,night,0
M,plusb3,b3,CORT,16.5,2,0,0,300,night,0.5
M,plusb3,b3,CORT,17,2,0,0,300,night,1
M,plusb3,b3,CORT,17.5,2,0,0,300,night,1.5
M,plusb3,b3,CORT,19,2,0,0,300,night,1
M,plusb3,b3,CORT,19.5,2,0,0,300,night,1.5
M,plusb3,b3,CORT,20,2,0,0,300,night,2
M,plusb3,b3,CORT,21,2,0,0,300,night,3
M,plusb3,b3,CORT,21.5,2,0,0,300,night,3.5
M,plusb3,b3,CORT,22,2,0,0,300,night,4
M,plusb3,b3,CORT,22.5,2,0,0,300,night,4.5
M,plusb3,b3,CORT,23.5,2,0,0,300,night,5.5
M,triangleb3,b3,CORT,12.5,1,0,0,300,night,18.5
M,triangleb3,b3,CORT,13,1,0,0,300,night,19
M,triangleb3,b3,CORT,13.5,1,0,0,300,night,19.5
M,triangleb3,b3,CORT,14,1,0,0,300,night,20
M,triangleb3,b3,CORT,14.5,1,0,0,300,night,20.5
M,triangleb3,b3,CORT,15,1,0,0,300,night,21
M,triangleb3,b3,CORT,15.5,1,0,0,300,night,21.5
M,triangleb3,b3,CORT,16,1,0,0,300,night,0
M,triangleb3,b3,CORT,16.5,1,0,0,300,night,0.5
M,triangleb3,b3,CORT,17,1,0,0,300,night,1
M,triangleb3,b3,CORT,17.5,1,0,0,300,night,1.5
M,triangleb3,b3,CORT,18,1,0,0,300,night,0
M,triangleb3,b3,CORT,18.5,1,0,0,300,night,0.5
M,triangleb3,b3,CORT,19,1,0,0,300,night,1
M,triangleb3,b3,CORT,20,1,0,0,300,night,2
M,triangleb3,b3,CORT,20.5,1,0,0,300,night,2.5
M,triangleb3,b3,CORT,21,1,0,0,300,night,3
M,triangleb3,b3,CORT,21.5,1,0,0,300,night,3.5
M,triangleb3,b3,CORT,22,1,0,0,300,night,4
M,triangleb3,b3,CORT,13,2,0,0,300,night,19
M,triangleb3,b3,CORT,13.5,2,0,0,300,night,19.5
M,triangleb3,b3,CORT,14,2,0,0,300,night,20
M,triangleb3,b3,CORT,15,2,0,0,300,night,21
M,triangleb3,b3,CORT,15.5,2,0,0,300,night,21.5
M,triangleb3,b3,CORT,16,2,0,0,300,night,0
M,triangleb3,b3,CORT,16.5,2,0,0,300,night,0.5
M,triangleb3,b3,CORT,17,2,0,0,300,night,1
M,triangleb3,b3,CORT,17.5,2,0,0,300,night,1.5
M,triangleb3,b3,CORT,19,2,0,0,300,night,1
M,triangleb3,b3,CORT,19.5,2,0,0,300,night,1.5
M,triangleb3,b3,CORT,20,2,0,0,300,night,2
M,triangleb3,b3,CORT,21,2,0,0,300,night,3
M,triangleb3,b3,CORT,21.5,2,0,0,300,night,3.5
M,triangleb3,b3,CORT,22,2,0,0,300,night,4
M,triangleb3,b3,CORT,22.5,2,0,0,300,night,4.5
M,triangleb3,b3,CORT,23.5,2,0,0,300,night,5.5
F,squareb3,b3,CORT,12.5,1,0,0,300,night,18.5
F,squareb3,b3,CORT,13,1,0,0,300,night,19
F,squareb3,b3,CORT,13.5,1,0,0,300,night,19.5
F,squareb3,b3,CORT,14,1,0,0,300,night,20
F,squareb3,b3,CORT,14.5,1,0,0,300,night,20.5
F,squareb3,b3,CORT,15,1,0,0,300,night,21
F,squareb3,b3,CORT,15.5,1,0,0,300,night,21.5
F,squareb3,b3,CORT,16,1,0,0,300,night,0
F,squareb3,b3,CORT,16.5,1,0,0,300,night,0.5
F,squareb3,b3,CORT,17,1,0,0,300,night,1
