condition,age,time,act,bmalnorm,pernorm,bmal,per,stage,bact2,id,other,batch,group
control,pd28,zt1,16.79,8.26,5.64,0.003262062,0.02005353,postnatal,,C1,,new,controlpd28zt1
control,pd28,zt1,17.655,8.075,5.72,0.003708368,0.018971795,postnatal,,C2,,new,controlpd28zt1
control,pd28,zt1,17.2,8.815,5.715,0.002220346,0.01903766,postnatal,,C3,,new,controlpd28zt1
control,pd28,zt1,17.07,8.065,5.63,0.003734161,0.020193013,postnatal,,C4,,new,controlpd28zt1
control,pd28,zt10,16.73,8.245,5.83,0.003296155,0.017579039,postnatal,,C13,,new,controlpd28zt10
cort,pd28,zt1,16.915,7.12,5.64,0.007188966,0.02005353,postnatal,,B1,,new,cortpd28zt1
cort,pd28,zt1,16.845,8.945,5.99,0.002029022,0.01573368,postnatal,,B2,,new,cortpd28zt1
cort,pd28,zt1,18.06,8.625,6.125,0.00253289,0.014328188,postnatal,,B5,,new,cortpd28zt1
control,pd28,zt10,17.17,6.695,4.645,0.009651708,0.039968299,postnatal,,C8,,new,controlpd28zt10
control,pd28,zt10,17.31,6.315,4.445,0.012560172,0.04591152,postnatal,,C9,,new,controlpd28zt10
control,pd28,zt10,16.76,6.015,5.295,0.015463385,0.02547101,postnatal,,C10,,new,controlpd28zt10
control,pd28,zt10,17.265,5.98,4.905,0.015843117,0.033377044,postnatal,,C11,,new,controlpd28zt10
cort,pd28,zt10,18.11,6.425,4.215,0.011638105,0.053846635,postnatal,,B17,,new,cortpd28zt10
cort,pd28,zt10,18.945,6.585,4.775,0.010416396,0.036524289,postnatal,,B18,,new,cortpd28zt10
cort,e11,9am,18.995,10.905,10.61,0.000521516,0.000639841,prenatal,,,,orig,corte119am
cort,e11,9am,19.8,8.305,9.66,0.003161884,0.00123609,prenatal,,,,orig,corte119am
cort,e11,9am,19.645,9.55,9.94,0.001334024,0.001018033,prenatal,,,,orig,corte119am
cort,e11,9am,20.38,8.515,10.09,0.002733566,0.000917503,prenatal,,,,orig,corte119am
cort,e11,9am,20.65,8.885,9.78,0.002115186,0.001137435,prenatal,,,,orig,corte119am
cort,e11,9am,19.625,10.575,10.895,0.000655553,0.000525144,prenatal,,,,orig,corte119am
cort,e11,9am,20.005,10.245,9.655,0.000824039,0.001240382,prenatal,,,,orig,corte119am
cort,e11,9am,19.545,9.075,11.88,0.001854184,0.000265316,prenatal,,,,orig,corte119am
control,e11,9am,20.065,9.765,9.485,0.001149323,0.001395502,prenatal,,,,orig,controle119am
control,e11,9am,20.325,9.47,8.725,0.001410087,0.00236327,prenatal,,,,orig,controle119am
control,e11,9am,20.705,9.16,9.47,0.001748096,0.001410087,prenatal,,,,orig,controle119am
control,e11,9am,25.93,5.84,5.405,0.017457612,0.023601134,prenatal,,,,orig,controle119am
control,e11,9am,19.14,7.775,11.415,0.004565536,0.00036622,prenatal,,,,orig,controle119am
control,e11,9am,21.19,9.41,4.475,0.001469968,0.044966674,prenatal,,,,orig,controle119am
control,e11,9am,19.955,7.985,10.01,0.003947076,0.000969817,prenatal,,,,orig,controle119am
control,e11,9am,19.35,8.025,10.015,0.003839143,0.000966462,prenatal,,,,orig,controle119am
cort,e17,9am,22.18,10.195,8.21,0.000853099,0.003377099,prenatal,,,,orig,corte179am
cort,e17,9am,21.335,8.315,8.505,0.003140043,0.00275258,prenatal,,,,orig,corte179am
cort,e17,9am,20.4,9.405,10.325,0.001475071,0.000779588,prenatal,,,,orig,corte179am
cort,e17,9am,23.58,7.535,6.595,0.005391865,0.010344445,prenatal,,,,orig,corte179am
cort,e17,9am,20.42,7.35,8.49,0.006129563,0.002781348,prenatal,,,,orig,corte179am
cort,e17,9am,21.13,8.01,8.51,0.003879268,0.002743056,prenatal,,,,orig,corte179am
cort,e17,9am,20.145,8.86,9.55,0.002152158,0.001334024,prenatal,,,,orig,corte179am
